Feature,Mean_Absolute_SHAP,Random_Seed,Fold
categorical__education_secondary,0.01359662388669667,7,1
categorical__education_tertiary,0.09819363540409051,7,1
categorical__education_unknown,0.0059929220825481,7,1
categorical__default_no,0.0008418347627416593,7,1
categorical__default_yes,0.001850673516467844,7,1
categorical__housing_no,0.18883708716303454,7,1
categorical__housing_yes,0.20086103742546688,7,1
categorical__loan_no,0.08562711963352769,7,1
categorical__loan_yes,0.09338598900205967,7,1
categorical__contact_cellular,0.2597525242126668,7,1
categorical__contact_telephone,0.04518563382048492,7,1
categorical__contact_unknown,0.4717255061261371,7,1
categorical__month_apr,0.010189574802957057,7,1
categorical__month_aug,0.1704733310317973,7,1
categorical__month_dec,0.0033097240510722025,7,1
categorical__month_feb,0.00541283371437758,7,1
categorical__month_jan,0.07593833078682681,7,1
categorical__month_jul,0.2584605475111656,7,1
categorical__month_jun,0.04738505532181421,7,1
categorical__month_mar,0.06735910839356729,7,1
categorical__month_may,0.3070806178889702,7,1
categorical__month_nov,0.19976937832279687,7,1
categorical__month_oct,0.025181768527802014,7,1
categorical__month_sep,0.026093126803354127,7,1
categorical__poutcome_failure,0.13569713855468912,7,1
categorical__poutcome_other,0.03480190600511271,7,1
categorical__poutcome_success,0.10411985574365093,7,1
categorical__poutcome_unknown,0.3041901423658594,7,1
numeric__age,0.004484140991796001,7,2
numeric__balance,0.03458193387207373,7,2
numeric__day,0.023281371338913337,7,2
numeric__duration,0.9468491648339548,7,2
numeric__campaign,0.17424672526966073,7,2
numeric__pdays,0.005813309789246412,7,2
numeric__previous,0.022749550689335873,7,2
categorical__job_admin.,0.03339313612328087,7,2
categorical__job_blue-collar,0.07806600540036866,7,2
categorical__job_entrepreneur,0.00347612030906384,7,2
categorical__job_housemaid,0.01632063615743914,7,2
categorical__job_management,0.011926557247584497,7,2
categorical__job_retired,0.029674448590680177,7,2
categorical__job_self-employed,0.012393566460731212,7,2
categorical__job_services,0.020942014480773184,7,2
categorical__job_student,0.02636588740920268,7,2
categorical__job_technician,0.00581252596070806,7,2
categorical__job_unemployed,0.003204016777985174,7,2
categorical__job_unknown,0.0008420984046955,7,2
categorical__marital_divorced,0.0006555327737275355,7,2
categorical__marital_married,0.07519731982501432,7,2
categorical__marital_single,0.056342499629570046,7,2
categorical__education_primary,0.0730983593656832,7,2
categorical__education_secondary,0.009010096633538082,7,2
categorical__education_tertiary,0.044367569194201255,7,2
categorical__education_unknown,0.01923524526376176,7,2
categorical__default_no,0.000561687039731884,7,2
categorical__default_yes,0.0010260628969316976,7,2
categorical__housing_no,0.19639922581694574,7,2
categorical__housing_yes,0.20265335216841687,7,2
categorical__loan_no,0.06886191295476093,7,2
categorical__loan_yes,0.07193765562267367,7,2
categorical__contact_cellular,0.24450179727067312,7,2
categorical__contact_telephone,0.040377653780908296,7,2
categorical__contact_unknown,0.4404372355120822,7,2
categorical__month_apr,0.006993616387702296,7,2
categorical__month_aug,0.22627056978605842,7,2
categorical__month_dec,0.0006935749126729926,7,2
categorical__month_feb,0.0009518985417346483,7,2
categorical__month_jan,0.04989765599955445,7,2
categorical__month_jul,0.23692571690809328,7,2
categorical__month_jun,0.062238463187965616,7,2
categorical__month_mar,0.059451852925493376,7,2
categorical__month_may,0.29134458118513806,7,2
categorical__month_nov,0.15358358572048053,7,2
categorical__month_oct,0.044460318766706614,7,2
categorical__month_sep,0.015926091266601633,7,2
categorical__poutcome_failure,0.10097889469096596,7,2
categorical__poutcome_other,0.019896545166720583,7,2
categorical__poutcome_success,0.11292516562212586,7,2
categorical__poutcome_unknown,0.1977711842758171,7,2
numeric__age,0.03331336939761668,7,3
numeric__balance,0.026702005272198348,7,3
