Threshold,Accuracy,Precision,Recall,F1,Balanced_Accuracy
0.39,0.9033952665339526,0.6216573126444371,0.4450484519026235,0.518732782369146,0.7045826534805099
0.4,0.9036717540367175,0.6269113149847095,0.4360671236114394,0.5143574017284639,0.7008434688101346
0.41,0.9034505640345056,0.6291506466270534,0.42543134010872136,0.5076142131979695,0.6961048424875886
0.42,0.9030634815306349,0.6299749013983507,0.415268258095013,0.5005698005698006,0.6914773203303446
0.43,0.902565804025658,0.6305873660879202,0.40345072086977074,0.4920726434130873,0.6860695380345347
0.44,0.9025381552753815,0.6338134950720242,0.3951784448121012,0.4868248653370214,0.6824656979673118
0.45,0.902621101526211,0.638098948188547,0.3871425194989364,0.4819064430714916,0.6790270007395425
0.46,0.9022893165228931,0.639344262295082,0.3779248404632475,0.4750445632798574,0.6748408684265075
0.47,0.9017639902676399,0.6398514851485149,0.3665800047270149,0.46611570247933887,0.6696224694080013
0.48,0.901487502764875,0.642127659574468,0.3566532734578114,0.45859291900926913,0.6651600900902108
0.49,0.9016810440168105,0.6473155827149716,0.3505081541006854,0.45476847592762953,0.6626041725508593
0.5,0.9014598540145985,0.6490835940992401,0.34318128102103523,0.4489795918367347,0.6593008199262423
0.51,0.9013492590134926,0.6517162471395881,0.3365634601748996,0.44389027431421446,0.6563676492407828
0.52,0.9013216102632161,0.6558380414312618,0.32923658709524933,0.43839496459480726,0.6531738873729683
0.53,0.9012110152621101,0.6587837837837838,0.3226187662491137,0.433127082341742,0.6502407166875088
0.54,0.9012386640123866,0.6631996037642397,0.3164736468919877,0.42848,0.6475908642137553
0.55,0.9011833665118336,0.6673458991339786,0.3096194753013472,0.42298999031320633,0.6445864856232446
0.56,0.9008792302587924,0.6701791359325606,0.30063814701016306,0.41507586882036224,0.640518528682462
0.57,0.9004368502543685,0.6706392199349945,0.29260222169699834,0.4074378805331578,0.636782370829086
0.58,0.9001050652510506,0.6722408026755853,0.2850389978728433,0.40033195020746887,0.6333138753650155
0.59,0.9000774165007742,0.676588437321122,0.279366580004727,0.3954499832719973,0.6308377503461653
0.6,0.8995244414952445,0.6758986446670595,0.2710943039470574,0.3869770580296896,0.6269364496533358
0.61,0.8993585489935855,0.6796352583586626,0.2642401323564169,0.3805309734513274,0.6238694477732236
0.62,0.8990544127405441,0.68125,0.25762231151028125,0.3738638312467844,0.6208266863309617
0.63,0.8988055739880557,0.684789644012945,0.2500590876861262,0.36634349030470914,0.6174051583340924
0.64,0.8986396814863968,0.6877076411960132,0.24462302056251478,0.3608786610878661,0.6149532737530926
0.65,0.8983908427339085,0.6898907103825137,0.23871425194989365,0.3546971027216857,0.6122493826051876
0.66,0.8980314089803141,0.6902592852137351,0.23280548333727252,0.34817956875220923,0.6094828681676813
0.67,0.8977825702278257,0.6948905109489051,0.22500590876861262,0.33993929655418675,0.6059588206209597
0.68,0.897284892722849,0.6936936936936937,0.21838808792247696,0.3321948588890886,0.6028064684218953
0.69,0.8967872152178722,0.6942277691107644,0.21035216260931222,0.322873208779249,0.5990389989237186
0.7,0.8963448352134483,0.6943548387096774,0.20349799101867172,0.31475050265033816,0.595815438819603
0.71,0.8959854014598541,0.6949293433083957,0.1975892224060506,0.3076923076923077,0.5930489243820967
0.72,0.8956812652068127,0.6980968858131488,0.19073505081541006,0.2996101726378318,0.5899036433899826
0.73,0.8954324264543243,0.701707097933513,0.1845899314582841,0.29229041916167664,0.5870972326922256
0.74,0.8950729927007299,0.704119850187266,0.1777357598676436,0.2838271371956973,0.583920640055311
0.75,0.8946582614465827,0.7049659201557936,0.17111793902150793,0.27538988208444276,0.5808152553234477
0.76,0.8946029639460297,0.7126903553299493,0.16591822264240133,0.2691717791411043,0.5785285135819014
0.77,0.8940499889404999,0.7138263665594855,0.1574095958402269,0.2579395817195972,0.5745246933392198
0.78,0.8934693651846937,0.7133182844243793,0.14937367052706216,0.24701973812780925,0.570710256373842
0.79,0.8930822826808228,0.7116279069767442,0.14464665563696524,0.24042427813789038,0.5684406838631957
0.8,0.8924463614244637,0.7081807081807082,0.1370834318128102,0.2297029702970297,0.5647999743527212
0.81,0.8920592789205928,0.7104247104247104,0.13046561096667456,0.22044728434504793,0.5617102454432584
